IdGenr,Genr
1,Crime
2,Science Fiction
3,Crime TV Shows
4,Arts
5,Horror
6,Thrillers
7,International
8,Fantasy
9,Talk Show
10,Biographical
11,TV Sci-Fi & Fantasy
12,Sci-Fi & Fantasy
13,Variety
14,Game Shows
15,Teen TV Shows
16,TV Horror
17,Horror Movies
18,Series
19,Lifestyle & Culture
20,Adventure
21,Suspense
22,Faith and Spirituality
23,Science & Technology
24,Mystery
25,International TV Shows
26,Anime Series
27,Stand-Up Comedy & Talk Shows
28,Music
29,History
30,Historical
31,Special Interest
32,LGBTQ Movies
33,Cult Movies
34,Sports Movies
35,Action
36,Spy/Espionage
37,Stand Up
38,Adult Animation
39,Documentary
40,Unscripted
41,Western
42,News
43,Anime Features
44,British TV Shows
45,Sitcom
46,Action-Adventure
47,Documentaries
48,Animation
49,Music & Musicals
50,International Movies
51,Lifestyle
52,Science & Nature TV
53,TV Action & Adventure
54,Parody
55,and Culture
56,Game Show / Competition
57,Arthouse
58,Thriller
59,Korean TV Shows
60,Anthology
61,Teen
62,Superhero
63,Black Stories
64,Entertainment
65,Faith & Spirituality
66,Docuseries
67,Coming of Age
68,Cartoons
69,Kids' TV
70,Independent Movies
71,Children & Family Movies
72,Anime
73,Military and War
74,Concert Film
75,Health & Wellness
76,TV Dramas
77,Latino
78,Action & Adventure
79,Drama
80,Musical
81,Young Adult Audience
82,Movies
83,Disaster
84,Soap Opera / Melodrama
85,Romantic Movies
86,Classic & Cult TV
87,TV Mysteries
88,TV Comedies
89,Romance
90,Stand-Up Comedy
91,Dance
92,Sports
93,Reality TV
94,LGBTQ+
95,Romantic TV Shows
96,Dramas
97,Classic Movies
98,TV Thrillers
99,Music Videos and Concerts
100,Buddy
101,Comedies
102,Classics
103,Family
104,Police/Cop
105,Survival
106,Reality
107,Late Night
108,TV Shows
109,Talk Show and Variety
110,Comedy
111,Kids
112,Fitness
113,Travel
114,LGBTQ
115,Medical
116,Cooking & Food
117,Spanish-Language TV Shows
118,Romantic Comedy
119,Animals & Nature
120,Sketch Comedy
